method,model,ID,LOO-long,SameTask-long,DiffTask-long,1ds-Diff-long,mean_ood,delta_vs_saplma,delta_vs_saplma_attention
CAWSA lambda=2,meta-llama/Meta-Llama-3.1-8B,0.5244321931448137,0.24290424259659257,0.2270557707025361,0.18937618092989494,0.2293938023647834,0.22218249914845178,-0.028337710082789513,-0.034622939823682364
CAWSA lambda=2 + SAPLMA,meta-llama/Meta-Llama-3.1-8B,0.6008705569686634,0.2839135773007671,0.33940434745518905,0.24136937995173727,0.25695070856865104,0.2804095033190861,0.029889294087844798,0.023604064346951947
SAPLMA,meta-llama/Meta-Llama-3.1-8B,0.5955515309180269,0.24858558957548693,0.3261654956664677,0.21637790110875368,0.21095185057425683,0.2505202092312413,0.0,-0.00628522974089285
SAPLMA + attention pooling,meta-llama/Meta-Llama-3.1-8B,0.6276529330377271,0.27099611262609147,0.3282529753042762,0.22203358114498217,0.20593908681318684,0.25680543897213415,0.00628522974089285,0.0
attention pooling,meta-llama/Meta-Llama-3.1-8B,0.6258879596072354,0.2601152634967491,0.27883221291317506,0.19700796086491681,0.18072675528066717,0.22917054813887705,-0.021349661092364247,-0.027634890833257097
CAWSA lambda=2,google/gemma-2-9b,0.4914575859387238,0.17625803164303253,0.18920683291778956,0.17592803932899492,0.1891859937381572,0.18264472440699353,-0.05828159632411012,-0.054506575989033745
CAWSA lambda=2 + SAPLMA,google/gemma-2-9b,0.5712103963120089,0.2590373620155675,0.2983157819898598,0.2174084935272148,0.27188249424047484,0.26166103294327925,0.0207347122121756,0.024509732547251972
SAPLMA,google/gemma-2-9b,0.5681669147095149,0.24298135958475964,0.3140493301461751,0.17408055221919344,0.23259404097428643,0.24092632073110365,0.0,0.0037750203350763734
SAPLMA + attention pooling,google/gemma-2-9b,0.5663688301616845,0.25420137261574915,0.3060301566800781,0.18215106719673654,0.20622260509154516,0.23715130039602728,-0.0037750203350763734,0.0
attention pooling,google/gemma-2-9b,0.503718219345563,0.20036063203875085,0.24774286585252467,0.14349610755246237,0.14851889280233727,0.18502962456151878,-0.05589669616958487,-0.052121675834508496
