model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_sum,reference baseline,0.2018,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_ppl,reference baseline,-0.1736,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,floor_min,reference baseline,0.371,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,fair_floor,reference baseline,0.371,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,saplma,reference baseline,0.3807,0.0331,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,uniform,this project,0.3255,0.0317,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,attention,this project,0.1611,0.0319,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_norm,this project,0.0558,0.0981,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_seg_flat,this project,-0.0115,0.0065,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_seg_softmax,this project,-0.0413,0.019,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink1_5,this project,0.0293,0.045,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink2,this project,0.0531,0.0563,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink10,this project,-0.1195,0.0061,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_blondel,this project,0.0221,0.0781,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink2_blondel,this project,-0.1559,0.0007,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,wmsp_shrink10_blondel,this project,-0.1666,0.0028,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,ptrue,reference baseline,0.1353,0.0486,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,lookback,reference baseline,-0.0056,0.111,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:bestw_vs_fairfloor,verdict,-0.2719,,3,,corrected-span master,40,yes
