dataset,beta,prr
pubmed_qa,0.0,-0.1736
pubmed_qa,0.5,0.0702
pubmed_qa,1.0,0.3655
pubmed_qa,2.0,0.3901
pubmed_qa,4.0,0.3687
pubmed_qa,8.0,0.3582
pubmed_qa,16.0,0.3646
pubmed_qa,inf,0.371
med_quad,0.0,0.1118
med_quad,0.5,0.123
med_quad,1.0,0.1244
med_quad,2.0,0.089
med_quad,4.0,0.0322
med_quad,8.0,-0.0139
med_quad,16.0,-0.0214
med_quad,inf,-0.0246
asqa,0.0,0.3161
asqa,0.5,0.3109
asqa,1.0,0.3096
asqa,2.0,0.3126
asqa,4.0,0.275
asqa,8.0,0.2496
asqa,16.0,0.2525
asqa,inf,0.2498
xsum,0.0,-0.1719
xsum,0.5,-0.0664
xsum,1.0,0.0152
xsum,2.0,0.0509
xsum,4.0,0.0402
xsum,8.0,0.0077
xsum,16.0,-0.009
xsum,inf,-0.0149
cnn_dailymail,0.0,0.4096
cnn_dailymail,0.5,0.3435
cnn_dailymail,1.0,0.2297
cnn_dailymail,2.0,0.1716
cnn_dailymail,4.0,0.1394
cnn_dailymail,8.0,0.1243
cnn_dailymail,16.0,0.1192
cnn_dailymail,inf,0.1198
samsum,0.0,0.1128
samsum,0.5,0.2153
samsum,1.0,0.1873
samsum,2.0,0.0865
samsum,4.0,0.0032
samsum,8.0,-0.0249
samsum,16.0,-0.0277
samsum,inf,-0.0243
expertqa,0.0,0.0393
expertqa,0.5,0.1572
expertqa,1.0,0.2082
expertqa,2.0,0.2567
expertqa,4.0,0.2438
expertqa,8.0,0.2173
expertqa,16.0,0.19
expertqa,inf,0.2054
factscore,0.0,0.326
factscore,0.5,0.3515
factscore,1.0,0.3599
factscore,2.0,0.3886
factscore,4.0,0.3689
factscore,8.0,0.39
factscore,16.0,0.4267
factscore,inf,0.4283
MACRO,0.0,0.1213
MACRO,0.5,0.1882
MACRO,1.0,0.225
MACRO,2.0,0.2183
MACRO,4.0,0.1839
MACRO,8.0,0.1635
MACRO,16.0,0.1619
MACRO,inf,0.1638
