rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,asqa,blend,8.0,0.3332,3,legacy
SameTask-long,asqa,blend,16.0,0.3202,3,legacy
SameTask-long,asqa,blend,32.0,0.3118,3,legacy
SameTask-long,asqa,blend,64.0,0.3052,3,legacy
SameTask-long,asqa,blend,128.0,0.2988,3,legacy
SameTask-long,asqa,blend,256.0,0.2891,3,legacy
SameTask-long,asqa,blend,512.0,0.2750,3,legacy
SameTask-long,asqa,shufL,8.0,0.3260,3,legacy
SameTask-long,asqa,shufL,16.0,0.3121,3,legacy
SameTask-long,asqa,shufL,32.0,0.2968,3,legacy
SameTask-long,asqa,shufL,64.0,0.2861,3,legacy
SameTask-long,asqa,shufL,128.0,0.2814,3,legacy
SameTask-long,asqa,shufL,256.0,0.2766,3,legacy
SameTask-long,asqa,shufL,512.0,0.2672,3,legacy
SameTask-long,asqa,const,0.5,0.3138,3,legacy
SameTask-long,asqa,endpoint,msp_min,0.2498,3,legacy
SameTask-long,asqa,endpoint,wmsp15,0.3256,3,legacy
DiffTask-long,asqa,blend,8.0,0.4152,3,legacy
DiffTask-long,asqa,blend,16.0,0.4143,3,legacy
DiffTask-long,asqa,blend,32.0,0.4006,3,legacy
DiffTask-long,asqa,blend,64.0,0.3693,3,legacy
DiffTask-long,asqa,blend,128.0,0.3419,3,legacy
DiffTask-long,asqa,blend,256.0,0.3144,3,legacy
DiffTask-long,asqa,blend,512.0,0.2861,3,legacy
DiffTask-long,asqa,shufL,8.0,0.4296,3,legacy
DiffTask-long,asqa,shufL,16.0,0.4283,3,legacy
DiffTask-long,asqa,shufL,32.0,0.4271,3,legacy
DiffTask-long,asqa,shufL,64.0,0.4106,3,legacy
DiffTask-long,asqa,shufL,128.0,0.3808,3,legacy
DiffTask-long,asqa,shufL,256.0,0.3379,3,legacy
DiffTask-long,asqa,shufL,512.0,0.3035,3,legacy
DiffTask-long,asqa,const,0.5,0.3908,3,legacy
DiffTask-long,asqa,endpoint,msp_min,0.2498,3,legacy
DiffTask-long,asqa,endpoint,wmsp15,0.4070,3,legacy
LOO-long,asqa,blend,8.0,0.3958,3,legacy
LOO-long,asqa,blend,16.0,0.4014,3,legacy
LOO-long,asqa,blend,32.0,0.3883,3,legacy
LOO-long,asqa,blend,64.0,0.3619,3,legacy
LOO-long,asqa,blend,128.0,0.3357,3,legacy
LOO-long,asqa,blend,256.0,0.3127,3,legacy
LOO-long,asqa,blend,512.0,0.2858,3,legacy
LOO-long,asqa,shufL,8.0,0.3881,3,legacy
LOO-long,asqa,shufL,16.0,0.3927,3,legacy
LOO-long,asqa,shufL,32.0,0.3904,3,legacy
LOO-long,asqa,shufL,64.0,0.3842,3,legacy
LOO-long,asqa,shufL,128.0,0.3634,3,legacy
LOO-long,asqa,shufL,256.0,0.3353,3,legacy
LOO-long,asqa,shufL,512.0,0.3047,3,legacy
LOO-long,asqa,const,0.5,0.3851,3,legacy
LOO-long,asqa,endpoint,msp_min,0.2498,3,legacy
LOO-long,asqa,endpoint,wmsp15,0.3927,3,legacy
1ds-Diff-long,asqa,blend,8.0,0.4398,3,legacy
1ds-Diff-long,asqa,blend,16.0,0.4295,3,legacy
1ds-Diff-long,asqa,blend,32.0,0.4113,3,legacy
1ds-Diff-long,asqa,blend,64.0,0.3877,3,legacy
1ds-Diff-long,asqa,blend,128.0,0.3690,3,legacy
1ds-Diff-long,asqa,blend,256.0,0.3331,3,legacy
1ds-Diff-long,asqa,blend,512.0,0.2975,3,legacy
1ds-Diff-long,asqa,shufL,8.0,0.4476,3,legacy
1ds-Diff-long,asqa,shufL,16.0,0.4388,3,legacy
1ds-Diff-long,asqa,shufL,32.0,0.4124,3,legacy
1ds-Diff-long,asqa,shufL,64.0,0.3749,3,legacy
1ds-Diff-long,asqa,shufL,128.0,0.3522,3,legacy
1ds-Diff-long,asqa,shufL,256.0,0.3226,3,legacy
1ds-Diff-long,asqa,shufL,512.0,0.2919,3,legacy
1ds-Diff-long,asqa,const,0.5,0.4283,3,legacy
1ds-Diff-long,asqa,endpoint,msp_min,0.2498,3,legacy
1ds-Diff-long,asqa,endpoint,wmsp15,0.4451,3,legacy
