rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,cnn_dailymail,blend,8.0,0.3248,3,legacy
SameTask-long,cnn_dailymail,blend,16.0,0.3307,3,legacy
SameTask-long,cnn_dailymail,blend,32.0,0.2904,3,legacy
SameTask-long,cnn_dailymail,blend,64.0,0.2191,3,legacy
SameTask-long,cnn_dailymail,blend,128.0,0.1702,3,legacy
SameTask-long,cnn_dailymail,blend,256.0,0.1440,3,legacy
SameTask-long,cnn_dailymail,blend,512.0,0.1316,3,legacy
SameTask-long,cnn_dailymail,shufL,8.0,0.3208,3,legacy
SameTask-long,cnn_dailymail,shufL,16.0,0.3155,3,legacy
SameTask-long,cnn_dailymail,shufL,32.0,0.2887,3,legacy
SameTask-long,cnn_dailymail,shufL,64.0,0.2441,3,legacy
SameTask-long,cnn_dailymail,shufL,128.0,0.1996,3,legacy
SameTask-long,cnn_dailymail,shufL,256.0,0.1666,3,legacy
SameTask-long,cnn_dailymail,shufL,512.0,0.1457,3,legacy
SameTask-long,cnn_dailymail,const,0.5,0.2349,3,legacy
SameTask-long,cnn_dailymail,endpoint,msp_min,0.1198,3,legacy
SameTask-long,cnn_dailymail,endpoint,wmsp15,0.3193,3,legacy
DiffTask-long,cnn_dailymail,blend,8.0,0.2772,3,legacy
DiffTask-long,cnn_dailymail,blend,16.0,0.2361,3,legacy
DiffTask-long,cnn_dailymail,blend,32.0,0.1643,3,legacy
DiffTask-long,cnn_dailymail,blend,64.0,0.1298,3,legacy
DiffTask-long,cnn_dailymail,blend,128.0,0.1194,3,legacy
DiffTask-long,cnn_dailymail,blend,256.0,0.1171,3,legacy
DiffTask-long,cnn_dailymail,blend,512.0,0.1177,3,legacy
DiffTask-long,cnn_dailymail,shufL,8.0,0.2703,3,legacy
DiffTask-long,cnn_dailymail,shufL,16.0,0.2401,3,legacy
DiffTask-long,cnn_dailymail,shufL,32.0,0.1958,3,legacy
DiffTask-long,cnn_dailymail,shufL,64.0,0.1658,3,legacy
DiffTask-long,cnn_dailymail,shufL,128.0,0.1472,3,legacy
DiffTask-long,cnn_dailymail,shufL,256.0,0.1363,3,legacy
DiffTask-long,cnn_dailymail,shufL,512.0,0.1289,3,legacy
DiffTask-long,cnn_dailymail,const,0.5,0.1684,3,legacy
DiffTask-long,cnn_dailymail,endpoint,msp_min,0.1198,3,legacy
DiffTask-long,cnn_dailymail,endpoint,wmsp15,0.2750,3,legacy
LOO-long,cnn_dailymail,blend,8.0,0.3377,3,legacy
LOO-long,cnn_dailymail,blend,16.0,0.3323,3,legacy
LOO-long,cnn_dailymail,blend,32.0,0.2944,3,legacy
LOO-long,cnn_dailymail,blend,64.0,0.2303,3,legacy
LOO-long,cnn_dailymail,blend,128.0,0.1795,3,legacy
LOO-long,cnn_dailymail,blend,256.0,0.1500,3,legacy
LOO-long,cnn_dailymail,blend,512.0,0.1350,3,legacy
LOO-long,cnn_dailymail,shufL,8.0,0.3351,3,legacy
LOO-long,cnn_dailymail,shufL,16.0,0.3229,3,legacy
LOO-long,cnn_dailymail,shufL,32.0,0.2842,3,legacy
LOO-long,cnn_dailymail,shufL,64.0,0.2348,3,legacy
LOO-long,cnn_dailymail,shufL,128.0,0.1922,3,legacy
LOO-long,cnn_dailymail,shufL,256.0,0.1620,3,legacy
LOO-long,cnn_dailymail,shufL,512.0,0.1430,3,legacy
LOO-long,cnn_dailymail,const,0.5,0.2298,3,legacy
LOO-long,cnn_dailymail,endpoint,msp_min,0.1198,3,legacy
LOO-long,cnn_dailymail,endpoint,wmsp15,0.3370,3,legacy
1ds-Diff-long,cnn_dailymail,blend,8.0,0.2999,3,legacy
1ds-Diff-long,cnn_dailymail,blend,16.0,0.2949,3,legacy
1ds-Diff-long,cnn_dailymail,blend,32.0,0.2551,3,legacy
1ds-Diff-long,cnn_dailymail,blend,64.0,0.1980,3,legacy
1ds-Diff-long,cnn_dailymail,blend,128.0,0.1601,3,legacy
1ds-Diff-long,cnn_dailymail,blend,256.0,0.1396,3,legacy
1ds-Diff-long,cnn_dailymail,blend,512.0,0.1294,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,8.0,0.2984,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,16.0,0.2871,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,32.0,0.2476,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,64.0,0.2042,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,128.0,0.1713,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,256.0,0.1490,3,legacy
1ds-Diff-long,cnn_dailymail,shufL,512.0,0.1354,3,legacy
1ds-Diff-long,cnn_dailymail,const,0.5,0.2022,3,legacy
1ds-Diff-long,cnn_dailymail,endpoint,msp_min,0.1198,3,legacy
1ds-Diff-long,cnn_dailymail,endpoint,wmsp15,0.2990,3,legacy
