rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,expertqa,blend,8.0,0.0186,3,legacy
SameTask-long,expertqa,blend,16.0,0.0124,3,legacy
SameTask-long,expertqa,blend,32.0,0.0081,3,legacy
SameTask-long,expertqa,blend,64.0,0.0156,3,legacy
SameTask-long,expertqa,blend,128.0,0.0450,3,legacy
SameTask-long,expertqa,blend,256.0,0.0951,3,legacy
SameTask-long,expertqa,blend,512.0,0.1555,3,legacy
SameTask-long,expertqa,shufL,8.0,0.0553,3,legacy
SameTask-long,expertqa,shufL,16.0,0.0560,3,legacy
SameTask-long,expertqa,shufL,32.0,0.0649,3,legacy
SameTask-long,expertqa,shufL,64.0,0.0914,3,legacy
SameTask-long,expertqa,shufL,128.0,0.1287,3,legacy
SameTask-long,expertqa,shufL,256.0,0.1740,3,legacy
SameTask-long,expertqa,shufL,512.0,0.2034,3,legacy
SameTask-long,expertqa,const,0.5,0.1886,3,legacy
SameTask-long,expertqa,endpoint,msp_min,0.2054,3,legacy
SameTask-long,expertqa,endpoint,wmsp15,0.0576,3,legacy
DiffTask-long,expertqa,blend,8.0,0.1423,3,legacy
DiffTask-long,expertqa,blend,16.0,0.1368,3,legacy
DiffTask-long,expertqa,blend,32.0,0.1374,3,legacy
DiffTask-long,expertqa,blend,64.0,0.1477,3,legacy
DiffTask-long,expertqa,blend,128.0,0.1708,3,legacy
DiffTask-long,expertqa,blend,256.0,0.1990,3,legacy
DiffTask-long,expertqa,blend,512.0,0.2156,3,legacy
DiffTask-long,expertqa,shufL,8.0,0.1669,3,legacy
DiffTask-long,expertqa,shufL,16.0,0.1670,3,legacy
DiffTask-long,expertqa,shufL,32.0,0.1706,3,legacy
DiffTask-long,expertqa,shufL,64.0,0.1808,3,legacy
DiffTask-long,expertqa,shufL,128.0,0.2002,3,legacy
DiffTask-long,expertqa,shufL,256.0,0.2239,3,legacy
DiffTask-long,expertqa,shufL,512.0,0.2310,3,legacy
DiffTask-long,expertqa,const,0.5,0.2323,3,legacy
DiffTask-long,expertqa,endpoint,msp_min,0.2054,3,legacy
DiffTask-long,expertqa,endpoint,wmsp15,0.1679,3,legacy
LOO-long,expertqa,blend,8.0,0.1222,3,legacy
LOO-long,expertqa,blend,16.0,0.1160,3,legacy
LOO-long,expertqa,blend,32.0,0.1136,3,legacy
LOO-long,expertqa,blend,64.0,0.1251,3,legacy
LOO-long,expertqa,blend,128.0,0.1461,3,legacy
LOO-long,expertqa,blend,256.0,0.1824,3,legacy
LOO-long,expertqa,blend,512.0,0.2078,3,legacy
LOO-long,expertqa,shufL,8.0,0.1614,3,legacy
LOO-long,expertqa,shufL,16.0,0.1614,3,legacy
LOO-long,expertqa,shufL,32.0,0.1637,3,legacy
LOO-long,expertqa,shufL,64.0,0.1725,3,legacy
LOO-long,expertqa,shufL,128.0,0.1787,3,legacy
LOO-long,expertqa,shufL,256.0,0.2037,3,legacy
LOO-long,expertqa,shufL,512.0,0.2245,3,legacy
LOO-long,expertqa,const,0.5,0.2215,3,legacy
LOO-long,expertqa,endpoint,msp_min,0.2054,3,legacy
LOO-long,expertqa,endpoint,wmsp15,0.1591,3,legacy
1ds-Diff-long,expertqa,blend,8.0,0.0634,3,legacy
1ds-Diff-long,expertqa,blend,16.0,0.0560,3,legacy
1ds-Diff-long,expertqa,blend,32.0,0.0510,3,legacy
1ds-Diff-long,expertqa,blend,64.0,0.0516,3,legacy
1ds-Diff-long,expertqa,blend,128.0,0.0681,3,legacy
1ds-Diff-long,expertqa,blend,256.0,0.1068,3,legacy
1ds-Diff-long,expertqa,blend,512.0,0.1567,3,legacy
1ds-Diff-long,expertqa,shufL,8.0,0.0949,3,legacy
1ds-Diff-long,expertqa,shufL,16.0,0.0925,3,legacy
1ds-Diff-long,expertqa,shufL,32.0,0.0843,3,legacy
1ds-Diff-long,expertqa,shufL,64.0,0.0898,3,legacy
1ds-Diff-long,expertqa,shufL,128.0,0.1245,3,legacy
1ds-Diff-long,expertqa,shufL,256.0,0.1574,3,legacy
1ds-Diff-long,expertqa,shufL,512.0,0.1870,3,legacy
1ds-Diff-long,expertqa,const,0.5,0.1843,3,legacy
1ds-Diff-long,expertqa,endpoint,msp_min,0.2054,3,legacy
1ds-Diff-long,expertqa,endpoint,wmsp15,0.0982,3,legacy
