rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,factscore,blend,8.0,0.4076,3,legacy
SameTask-long,factscore,blend,16.0,0.4423,3,legacy
SameTask-long,factscore,blend,32.0,0.4548,3,legacy
SameTask-long,factscore,blend,64.0,0.4617,3,legacy
SameTask-long,factscore,blend,128.0,0.4681,3,legacy
SameTask-long,factscore,blend,256.0,0.4689,3,legacy
SameTask-long,factscore,blend,512.0,0.4576,3,legacy
SameTask-long,factscore,shufL,8.0,0.3869,3,legacy
SameTask-long,factscore,shufL,16.0,0.4023,3,legacy
SameTask-long,factscore,shufL,32.0,0.4234,3,legacy
SameTask-long,factscore,shufL,64.0,0.4542,3,legacy
SameTask-long,factscore,shufL,128.0,0.4958,3,legacy
SameTask-long,factscore,shufL,256.0,0.4947,3,legacy
SameTask-long,factscore,shufL,512.0,0.4821,3,legacy
SameTask-long,factscore,const,0.5,0.4940,3,legacy
SameTask-long,factscore,endpoint,msp_min,0.4283,3,legacy
SameTask-long,factscore,endpoint,wmsp15,0.3811,3,legacy
DiffTask-long,factscore,blend,8.0,0.3407,3,legacy
DiffTask-long,factscore,blend,16.0,0.3764,3,legacy
DiffTask-long,factscore,blend,32.0,0.4124,3,legacy
DiffTask-long,factscore,blend,64.0,0.4396,3,legacy
DiffTask-long,factscore,blend,128.0,0.4437,3,legacy
DiffTask-long,factscore,blend,256.0,0.4513,3,legacy
DiffTask-long,factscore,blend,512.0,0.4479,3,legacy
DiffTask-long,factscore,shufL,8.0,0.3314,3,legacy
DiffTask-long,factscore,shufL,16.0,0.3311,3,legacy
DiffTask-long,factscore,shufL,32.0,0.3541,3,legacy
DiffTask-long,factscore,shufL,64.0,0.3832,3,legacy
DiffTask-long,factscore,shufL,128.0,0.4103,3,legacy
DiffTask-long,factscore,shufL,256.0,0.4330,3,legacy
DiffTask-long,factscore,shufL,512.0,0.4419,3,legacy
DiffTask-long,factscore,const,0.5,0.4508,3,legacy
DiffTask-long,factscore,endpoint,msp_min,0.4283,3,legacy
DiffTask-long,factscore,endpoint,wmsp15,0.3256,3,legacy
LOO-long,factscore,blend,8.0,0.2938,3,legacy
LOO-long,factscore,blend,16.0,0.3244,3,legacy
LOO-long,factscore,blend,32.0,0.3556,3,legacy
LOO-long,factscore,blend,64.0,0.3852,3,legacy
LOO-long,factscore,blend,128.0,0.4155,3,legacy
LOO-long,factscore,blend,256.0,0.4250,3,legacy
LOO-long,factscore,blend,512.0,0.4391,3,legacy
LOO-long,factscore,shufL,8.0,0.2754,3,legacy
LOO-long,factscore,shufL,16.0,0.2825,3,legacy
LOO-long,factscore,shufL,32.0,0.3018,3,legacy
LOO-long,factscore,shufL,64.0,0.3360,3,legacy
LOO-long,factscore,shufL,128.0,0.3844,3,legacy
LOO-long,factscore,shufL,256.0,0.4150,3,legacy
LOO-long,factscore,shufL,512.0,0.4346,3,legacy
LOO-long,factscore,const,0.5,0.4293,3,legacy
LOO-long,factscore,endpoint,msp_min,0.4283,3,legacy
LOO-long,factscore,endpoint,wmsp15,0.2744,3,legacy
1ds-Diff-long,factscore,blend,8.0,0.3881,3,legacy
1ds-Diff-long,factscore,blend,16.0,0.4190,3,legacy
1ds-Diff-long,factscore,blend,32.0,0.4567,3,legacy
1ds-Diff-long,factscore,blend,64.0,0.4676,3,legacy
1ds-Diff-long,factscore,blend,128.0,0.4582,3,legacy
1ds-Diff-long,factscore,blend,256.0,0.4513,3,legacy
1ds-Diff-long,factscore,blend,512.0,0.4471,3,legacy
1ds-Diff-long,factscore,shufL,8.0,0.3634,3,legacy
1ds-Diff-long,factscore,shufL,16.0,0.3785,3,legacy
1ds-Diff-long,factscore,shufL,32.0,0.4016,3,legacy
1ds-Diff-long,factscore,shufL,64.0,0.4239,3,legacy
1ds-Diff-long,factscore,shufL,128.0,0.4432,3,legacy
1ds-Diff-long,factscore,shufL,256.0,0.4515,3,legacy
1ds-Diff-long,factscore,shufL,512.0,0.4518,3,legacy
1ds-Diff-long,factscore,const,0.5,0.4541,3,legacy
1ds-Diff-long,factscore,endpoint,msp_min,0.4283,3,legacy
1ds-Diff-long,factscore,endpoint,wmsp15,0.3544,3,legacy
