rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,med_quad,blend,8.0,0.1701,3,legacy
SameTask-long,med_quad,blend,16.0,0.1701,3,legacy
SameTask-long,med_quad,blend,32.0,0.1716,3,legacy
SameTask-long,med_quad,blend,64.0,0.1730,3,legacy
SameTask-long,med_quad,blend,128.0,0.1690,3,legacy
SameTask-long,med_quad,blend,256.0,0.1609,3,legacy
SameTask-long,med_quad,blend,512.0,0.1605,3,legacy
SameTask-long,med_quad,shufL,8.0,0.1701,3,legacy
SameTask-long,med_quad,shufL,16.0,0.1704,3,legacy
SameTask-long,med_quad,shufL,32.0,0.1729,3,legacy
SameTask-long,med_quad,shufL,64.0,0.1751,3,legacy
SameTask-long,med_quad,shufL,128.0,0.1728,3,legacy
SameTask-long,med_quad,shufL,256.0,0.1638,3,legacy
SameTask-long,med_quad,shufL,512.0,0.1611,3,legacy
SameTask-long,med_quad,const,0.5,0.1652,3,legacy
SameTask-long,med_quad,endpoint,msp_min,0.1492,3,legacy
SameTask-long,med_quad,endpoint,wmsp15,0.1701,3,legacy
DiffTask-long,med_quad,blend,8.0,0.2138,3,legacy
DiffTask-long,med_quad,blend,16.0,0.2138,3,legacy
DiffTask-long,med_quad,blend,32.0,0.2161,3,legacy
DiffTask-long,med_quad,blend,64.0,0.2291,3,legacy
DiffTask-long,med_quad,blend,128.0,0.2103,3,legacy
DiffTask-long,med_quad,blend,256.0,0.1892,3,legacy
DiffTask-long,med_quad,blend,512.0,0.1752,3,legacy
DiffTask-long,med_quad,shufL,8.0,0.2139,3,legacy
DiffTask-long,med_quad,shufL,16.0,0.2146,3,legacy
DiffTask-long,med_quad,shufL,32.0,0.2194,3,legacy
DiffTask-long,med_quad,shufL,64.0,0.2334,3,legacy
DiffTask-long,med_quad,shufL,128.0,0.2122,3,legacy
DiffTask-long,med_quad,shufL,256.0,0.1903,3,legacy
DiffTask-long,med_quad,shufL,512.0,0.1757,3,legacy
DiffTask-long,med_quad,const,0.5,0.2003,3,legacy
DiffTask-long,med_quad,endpoint,msp_min,0.1492,3,legacy
DiffTask-long,med_quad,endpoint,wmsp15,0.2138,3,legacy
LOO-long,med_quad,blend,8.0,0.2095,3,legacy
LOO-long,med_quad,blend,16.0,0.2093,3,legacy
LOO-long,med_quad,blend,32.0,0.2084,3,legacy
LOO-long,med_quad,blend,64.0,0.2127,3,legacy
LOO-long,med_quad,blend,128.0,0.2095,3,legacy
LOO-long,med_quad,blend,256.0,0.1908,3,legacy
LOO-long,med_quad,blend,512.0,0.1766,3,legacy
LOO-long,med_quad,shufL,8.0,0.2095,3,legacy
LOO-long,med_quad,shufL,16.0,0.2095,3,legacy
LOO-long,med_quad,shufL,32.0,0.2094,3,legacy
LOO-long,med_quad,shufL,64.0,0.2157,3,legacy
LOO-long,med_quad,shufL,128.0,0.2105,3,legacy
LOO-long,med_quad,shufL,256.0,0.1914,3,legacy
LOO-long,med_quad,shufL,512.0,0.1770,3,legacy
LOO-long,med_quad,const,0.5,0.2010,3,legacy
LOO-long,med_quad,endpoint,msp_min,0.1492,3,legacy
LOO-long,med_quad,endpoint,wmsp15,0.2095,3,legacy
1ds-Diff-long,med_quad,blend,8.0,0.1609,3,legacy
1ds-Diff-long,med_quad,blend,16.0,0.1610,3,legacy
1ds-Diff-long,med_quad,blend,32.0,0.1625,3,legacy
1ds-Diff-long,med_quad,blend,64.0,0.1686,3,legacy
1ds-Diff-long,med_quad,blend,128.0,0.1735,3,legacy
1ds-Diff-long,med_quad,blend,256.0,0.1654,3,legacy
1ds-Diff-long,med_quad,blend,512.0,0.1629,3,legacy
1ds-Diff-long,med_quad,shufL,8.0,0.1609,3,legacy
1ds-Diff-long,med_quad,shufL,16.0,0.1612,3,legacy
1ds-Diff-long,med_quad,shufL,32.0,0.1635,3,legacy
1ds-Diff-long,med_quad,shufL,64.0,0.1698,3,legacy
1ds-Diff-long,med_quad,shufL,128.0,0.1742,3,legacy
1ds-Diff-long,med_quad,shufL,256.0,0.1656,3,legacy
1ds-Diff-long,med_quad,shufL,512.0,0.1629,3,legacy
1ds-Diff-long,med_quad,const,0.5,0.1705,3,legacy
1ds-Diff-long,med_quad,endpoint,msp_min,0.1492,3,legacy
1ds-Diff-long,med_quad,endpoint,wmsp15,0.1609,3,legacy
