rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,pubmed_qa,blend,8.0,0.2398,3,legacy
SameTask-long,pubmed_qa,blend,16.0,0.2863,3,legacy
SameTask-long,pubmed_qa,blend,32.0,0.3126,3,legacy
SameTask-long,pubmed_qa,blend,64.0,0.3344,3,legacy
SameTask-long,pubmed_qa,blend,128.0,0.3560,3,legacy
SameTask-long,pubmed_qa,blend,256.0,0.3672,3,legacy
SameTask-long,pubmed_qa,blend,512.0,0.3705,3,legacy
SameTask-long,pubmed_qa,shufL,8.0,0.2656,3,legacy
SameTask-long,pubmed_qa,shufL,16.0,0.3018,3,legacy
SameTask-long,pubmed_qa,shufL,32.0,0.3327,3,legacy
SameTask-long,pubmed_qa,shufL,64.0,0.3534,3,legacy
SameTask-long,pubmed_qa,shufL,128.0,0.3687,3,legacy
SameTask-long,pubmed_qa,shufL,256.0,0.3725,3,legacy
SameTask-long,pubmed_qa,shufL,512.0,0.3727,3,legacy
SameTask-long,pubmed_qa,const,0.5,0.3664,3,legacy
SameTask-long,pubmed_qa,endpoint,msp_min,0.3710,3,legacy
SameTask-long,pubmed_qa,endpoint,wmsp15,0.1970,3,legacy
DiffTask-long,pubmed_qa,blend,8.0,0.2860,3,legacy
DiffTask-long,pubmed_qa,blend,16.0,0.3186,3,legacy
DiffTask-long,pubmed_qa,blend,32.0,0.3398,3,legacy
DiffTask-long,pubmed_qa,blend,64.0,0.3543,3,legacy
DiffTask-long,pubmed_qa,blend,128.0,0.3701,3,legacy
DiffTask-long,pubmed_qa,blend,256.0,0.3764,3,legacy
DiffTask-long,pubmed_qa,blend,512.0,0.3750,3,legacy
DiffTask-long,pubmed_qa,shufL,8.0,0.3064,3,legacy
DiffTask-long,pubmed_qa,shufL,16.0,0.3374,3,legacy
DiffTask-long,pubmed_qa,shufL,32.0,0.3629,3,legacy
DiffTask-long,pubmed_qa,shufL,64.0,0.3772,3,legacy
DiffTask-long,pubmed_qa,shufL,128.0,0.3812,3,legacy
DiffTask-long,pubmed_qa,shufL,256.0,0.3799,3,legacy
DiffTask-long,pubmed_qa,shufL,512.0,0.3772,3,legacy
DiffTask-long,pubmed_qa,const,0.5,0.3730,3,legacy
DiffTask-long,pubmed_qa,endpoint,msp_min,0.3710,3,legacy
DiffTask-long,pubmed_qa,endpoint,wmsp15,0.2492,3,legacy
LOO-long,pubmed_qa,blend,8.0,0.3212,3,legacy
LOO-long,pubmed_qa,blend,16.0,0.3487,3,legacy
LOO-long,pubmed_qa,blend,32.0,0.3567,3,legacy
LOO-long,pubmed_qa,blend,64.0,0.3649,3,legacy
LOO-long,pubmed_qa,blend,128.0,0.3752,3,legacy
LOO-long,pubmed_qa,blend,256.0,0.3779,3,legacy
LOO-long,pubmed_qa,blend,512.0,0.3762,3,legacy
LOO-long,pubmed_qa,shufL,8.0,0.3175,3,legacy
LOO-long,pubmed_qa,shufL,16.0,0.3382,3,legacy
LOO-long,pubmed_qa,shufL,32.0,0.3525,3,legacy
LOO-long,pubmed_qa,shufL,64.0,0.3634,3,legacy
LOO-long,pubmed_qa,shufL,128.0,0.3721,3,legacy
LOO-long,pubmed_qa,shufL,256.0,0.3739,3,legacy
LOO-long,pubmed_qa,shufL,512.0,0.3727,3,legacy
LOO-long,pubmed_qa,const,0.5,0.3816,3,legacy
LOO-long,pubmed_qa,endpoint,msp_min,0.3710,3,legacy
LOO-long,pubmed_qa,endpoint,wmsp15,0.2747,3,legacy
1ds-Diff-long,pubmed_qa,blend,8.0,0.3102,3,legacy
1ds-Diff-long,pubmed_qa,blend,16.0,0.3340,3,legacy
1ds-Diff-long,pubmed_qa,blend,32.0,0.3577,3,legacy
1ds-Diff-long,pubmed_qa,blend,64.0,0.3703,3,legacy
1ds-Diff-long,pubmed_qa,blend,128.0,0.3781,3,legacy
1ds-Diff-long,pubmed_qa,blend,256.0,0.3800,3,legacy
1ds-Diff-long,pubmed_qa,blend,512.0,0.3774,3,legacy
1ds-Diff-long,pubmed_qa,shufL,8.0,0.2982,3,legacy
1ds-Diff-long,pubmed_qa,shufL,16.0,0.3246,3,legacy
1ds-Diff-long,pubmed_qa,shufL,32.0,0.3562,3,legacy
1ds-Diff-long,pubmed_qa,shufL,64.0,0.3737,3,legacy
1ds-Diff-long,pubmed_qa,shufL,128.0,0.3802,3,legacy
1ds-Diff-long,pubmed_qa,shufL,256.0,0.3790,3,legacy
1ds-Diff-long,pubmed_qa,shufL,512.0,0.3762,3,legacy
1ds-Diff-long,pubmed_qa,const,0.5,0.3887,3,legacy
1ds-Diff-long,pubmed_qa,endpoint,msp_min,0.3710,3,legacy
1ds-Diff-long,pubmed_qa,endpoint,wmsp15,0.2756,3,legacy
