rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,samsum,blend,8.0,0.3043,3,legacy
SameTask-long,samsum,blend,16.0,0.2694,3,legacy
SameTask-long,samsum,blend,32.0,0.1927,3,legacy
SameTask-long,samsum,blend,64.0,0.1056,3,legacy
SameTask-long,samsum,blend,128.0,0.0489,3,legacy
SameTask-long,samsum,blend,256.0,0.0194,3,legacy
SameTask-long,samsum,blend,512.0,0.0009,3,legacy
SameTask-long,samsum,shufL,8.0,0.2959,3,legacy
SameTask-long,samsum,shufL,16.0,0.2734,3,legacy
SameTask-long,samsum,shufL,32.0,0.2204,3,legacy
SameTask-long,samsum,shufL,64.0,0.1396,3,legacy
SameTask-long,samsum,shufL,128.0,0.0703,3,legacy
SameTask-long,samsum,shufL,256.0,0.0266,3,legacy
SameTask-long,samsum,shufL,512.0,0.0041,3,legacy
SameTask-long,samsum,const,0.5,0.1422,3,legacy
SameTask-long,samsum,endpoint,msp_min,-0.0243,3,legacy
SameTask-long,samsum,endpoint,wmsp15,0.3085,3,legacy
DiffTask-long,samsum,blend,8.0,0.0336,3,legacy
DiffTask-long,samsum,blend,16.0,0.0266,3,legacy
DiffTask-long,samsum,blend,32.0,0.0105,3,legacy
DiffTask-long,samsum,blend,64.0,-0.0115,3,legacy
DiffTask-long,samsum,blend,128.0,-0.0190,3,legacy
DiffTask-long,samsum,blend,256.0,-0.0197,3,legacy
DiffTask-long,samsum,blend,512.0,-0.0185,3,legacy
DiffTask-long,samsum,shufL,8.0,0.0246,3,legacy
DiffTask-long,samsum,shufL,16.0,0.0098,3,legacy
DiffTask-long,samsum,shufL,32.0,-0.0044,3,legacy
DiffTask-long,samsum,shufL,64.0,-0.0085,3,legacy
DiffTask-long,samsum,shufL,128.0,-0.0177,3,legacy
DiffTask-long,samsum,shufL,256.0,-0.0186,3,legacy
DiffTask-long,samsum,shufL,512.0,-0.0196,3,legacy
DiffTask-long,samsum,const,0.5,-0.0016,3,legacy
DiffTask-long,samsum,endpoint,msp_min,-0.0243,3,legacy
DiffTask-long,samsum,endpoint,wmsp15,0.0348,3,legacy
LOO-long,samsum,blend,8.0,0.2073,3,legacy
LOO-long,samsum,blend,16.0,0.1877,3,legacy
LOO-long,samsum,blend,32.0,0.1347,3,legacy
LOO-long,samsum,blend,64.0,0.0721,3,legacy
LOO-long,samsum,blend,128.0,0.0308,3,legacy
LOO-long,samsum,blend,256.0,0.0087,3,legacy
LOO-long,samsum,blend,512.0,-0.0057,3,legacy
LOO-long,samsum,shufL,8.0,0.2106,3,legacy
LOO-long,samsum,shufL,16.0,0.1999,3,legacy
LOO-long,samsum,shufL,32.0,0.1660,3,legacy
LOO-long,samsum,shufL,64.0,0.1064,3,legacy
LOO-long,samsum,shufL,128.0,0.0540,3,legacy
LOO-long,samsum,shufL,256.0,0.0197,3,legacy
LOO-long,samsum,shufL,512.0,-0.0012,3,legacy
LOO-long,samsum,const,0.5,0.1016,3,legacy
LOO-long,samsum,endpoint,msp_min,-0.0243,3,legacy
LOO-long,samsum,endpoint,wmsp15,0.2127,3,legacy
1ds-Diff-long,samsum,blend,8.0,0.1879,3,legacy
1ds-Diff-long,samsum,blend,16.0,0.1605,3,legacy
1ds-Diff-long,samsum,blend,32.0,0.1159,3,legacy
1ds-Diff-long,samsum,blend,64.0,0.0600,3,legacy
1ds-Diff-long,samsum,blend,128.0,0.0235,3,legacy
1ds-Diff-long,samsum,blend,256.0,0.0036,3,legacy
1ds-Diff-long,samsum,blend,512.0,-0.0081,3,legacy
1ds-Diff-long,samsum,shufL,8.0,0.1875,3,legacy
1ds-Diff-long,samsum,shufL,16.0,0.1685,3,legacy
1ds-Diff-long,samsum,shufL,32.0,0.1280,3,legacy
1ds-Diff-long,samsum,shufL,64.0,0.0773,3,legacy
1ds-Diff-long,samsum,shufL,128.0,0.0349,3,legacy
1ds-Diff-long,samsum,shufL,256.0,0.0086,3,legacy
1ds-Diff-long,samsum,shufL,512.0,-0.0062,3,legacy
1ds-Diff-long,samsum,const,0.5,0.0816,3,legacy
1ds-Diff-long,samsum,endpoint,msp_min,-0.0243,3,legacy
1ds-Diff-long,samsum,endpoint,wmsp15,0.1956,3,legacy
