rung,eval,kind,param,prr,n_seeds,carve
SameTask-long,xsum,blend,8.0,0.1467,3,legacy
SameTask-long,xsum,blend,16.0,0.1315,3,legacy
SameTask-long,xsum,blend,32.0,0.0962,3,legacy
SameTask-long,xsum,blend,64.0,0.0561,3,legacy
SameTask-long,xsum,blend,128.0,0.0249,3,legacy
SameTask-long,xsum,blend,256.0,0.0060,3,legacy
SameTask-long,xsum,blend,512.0,-0.0039,3,legacy
SameTask-long,xsum,shufL,8.0,0.1459,3,legacy
SameTask-long,xsum,shufL,16.0,0.1277,3,legacy
SameTask-long,xsum,shufL,32.0,0.0968,3,legacy
SameTask-long,xsum,shufL,64.0,0.0584,3,legacy
SameTask-long,xsum,shufL,128.0,0.0276,3,legacy
SameTask-long,xsum,shufL,256.0,0.0078,3,legacy
SameTask-long,xsum,shufL,512.0,-0.0038,3,legacy
SameTask-long,xsum,const,0.5,0.0773,3,legacy
SameTask-long,xsum,endpoint,msp_min,-0.0149,3,legacy
SameTask-long,xsum,endpoint,wmsp15,0.1501,3,legacy
DiffTask-long,xsum,blend,8.0,-0.0532,3,legacy
DiffTask-long,xsum,blend,16.0,-0.0487,3,legacy
DiffTask-long,xsum,blend,32.0,-0.0404,3,legacy
DiffTask-long,xsum,blend,64.0,-0.0299,3,legacy
DiffTask-long,xsum,blend,128.0,-0.0224,3,legacy
DiffTask-long,xsum,blend,256.0,-0.0181,3,legacy
DiffTask-long,xsum,blend,512.0,-0.0163,3,legacy
DiffTask-long,xsum,shufL,8.0,-0.0521,3,legacy
DiffTask-long,xsum,shufL,16.0,-0.0418,3,legacy
DiffTask-long,xsum,shufL,32.0,-0.0336,3,legacy
DiffTask-long,xsum,shufL,64.0,-0.0257,3,legacy
DiffTask-long,xsum,shufL,128.0,-0.0204,3,legacy
DiffTask-long,xsum,shufL,256.0,-0.0172,3,legacy
DiffTask-long,xsum,shufL,512.0,-0.0159,3,legacy
DiffTask-long,xsum,const,0.5,-0.0317,3,legacy
DiffTask-long,xsum,endpoint,msp_min,-0.0149,3,legacy
DiffTask-long,xsum,endpoint,wmsp15,-0.0539,3,legacy
LOO-long,xsum,blend,8.0,0.1242,3,legacy
LOO-long,xsum,blend,16.0,0.1079,3,legacy
LOO-long,xsum,blend,32.0,0.0782,3,legacy
LOO-long,xsum,blend,64.0,0.0449,3,legacy
LOO-long,xsum,blend,128.0,0.0192,3,legacy
LOO-long,xsum,blend,256.0,0.0030,3,legacy
LOO-long,xsum,blend,512.0,-0.0055,3,legacy
LOO-long,xsum,shufL,8.0,0.1247,3,legacy
LOO-long,xsum,shufL,16.0,0.1115,3,legacy
LOO-long,xsum,shufL,32.0,0.0838,3,legacy
LOO-long,xsum,shufL,64.0,0.0510,3,legacy
LOO-long,xsum,shufL,128.0,0.0232,3,legacy
LOO-long,xsum,shufL,256.0,0.0055,3,legacy
LOO-long,xsum,shufL,512.0,-0.0041,3,legacy
LOO-long,xsum,const,0.5,0.0611,3,legacy
LOO-long,xsum,endpoint,msp_min,-0.0149,3,legacy
LOO-long,xsum,endpoint,wmsp15,0.1284,3,legacy
1ds-Diff-long,xsum,blend,8.0,0.0328,3,legacy
1ds-Diff-long,xsum,blend,16.0,0.0268,3,legacy
1ds-Diff-long,xsum,blend,32.0,0.0175,3,legacy
1ds-Diff-long,xsum,blend,64.0,0.0080,3,legacy
1ds-Diff-long,xsum,blend,128.0,-0.0008,3,legacy
1ds-Diff-long,xsum,blend,256.0,-0.0066,3,legacy
1ds-Diff-long,xsum,blend,512.0,-0.0103,3,legacy
1ds-Diff-long,xsum,shufL,8.0,0.0338,3,legacy
1ds-Diff-long,xsum,shufL,16.0,0.0288,3,legacy
1ds-Diff-long,xsum,shufL,32.0,0.0204,3,legacy
1ds-Diff-long,xsum,shufL,64.0,0.0095,3,legacy
1ds-Diff-long,xsum,shufL,128.0,0.0010,3,legacy
1ds-Diff-long,xsum,shufL,256.0,-0.0058,3,legacy
1ds-Diff-long,xsum,shufL,512.0,-0.0100,3,legacy
1ds-Diff-long,xsum,const,0.5,0.0146,3,legacy
1ds-Diff-long,xsum,endpoint,msp_min,-0.0149,3,legacy
1ds-Diff-long,xsum,endpoint,wmsp15,0.0345,3,legacy
